
"",DonGarabedian,Don Garabedian,"CPA , Investor! Interests: technology, Japan, Asian travel, coffee. Masterpiece Mystery and swimming
",Nice to have you back in US; you did a great job in London!,Thu Oct 01 17:21:15 +0000 2015,1443720075665,649635198699573248,person,0.9266850443441015,new_job,0.48904435172026556,other,0.9081852816479908
"",Andrearecruits,Andrea Prunty,"(aprunty@dg.ca) - Account Manager & Recruiter for Property & Facilities Management, Leasing, Operations, and Real Estate positions for Calgary, Alberta. #cre
","Know someone for this job? Operations Manager in Calgary, AB Canada  #job",Sun Oct 04 00:36:08 +0000 2015,1443918968658,650469416375820288,person,0.9214768594989128,new_job,0.4672046685676263,other,0.9005091705727194
"",BelleDamex3,"                   b","ig: _biancapolanco
",This bitch did not just say she wants to go back to stripping and she got kids.... And a husband. Get a regular job you lazy slut!,Tue Oct 06 00:37:08 +0000 2015,1444091828658,651194443765170176,person,0.9866983628146828,new_job,0.8034893297811405,other,0.9986076888472504
"",sixfigurestart,SixFigureStart,"Coaching people to fulfilling and financially-rewarding careers as traditional employees or entrepreneurs
","As your job grows, plan for video meetings  Video Skills: The New Career Prerequisite",Tue Oct 06 23:08:04 +0000 2015,1444172884662,651534417287102464,person,0.5226169088684574,new_job,0.5590050534598311,other,0.832238685925169
"",Raja_Sw,"Raja ","Keen follower of social/political issues. Old Hindi movie/song - and cricket - buff.
","Mom: ""Politician promises to do sth, people clap. Shouldn't they be clapping AFTER he's done the job?"" She rarely discusses politics. :-)",Thu Oct 08 03:49:48 +0000 2015,1444276188666,651967705684180992,person,0.8209120623981705,new_job,0.4514560426497223,other,0.9989935361506007
"",Blake_Holmes,Blake Holmes,"est. 1995
","Exactly, he doesn't have the clutch factor. He's had multiple chances for game winning drives but never gets the job done.",Sun Oct 11 02:16:30 +0000 2015,1444529790658,653031389533638656,person,0.9846140655083908,new_job,0.44511269382937596,other,0.9620317591684701
"",Jessica_WOU,Jessica LaPaglia,"
","Interested in this job? Job Developer in Portsmouth, NH  #job",Sat Oct 17 11:38:37 +0000 2015,1445081917662,655347178035126273,person,0.9516432725759175,new_job,0.6230707120928223,other,0.5390875096593708
"",Pipipipipipichi,Pichitsak,"Evil spirit,Vindicator, Redeemer, Undertaker,Dictator, Android User, Fucking whatever.
","The moral of the story is you can travel anywhere when you don't have to do your day job anymore. ",Mon Oct 19 03:32:57 +0000 2015,1445225577658,655949731730862080,person,0.7895075525302492,new_job,0.5491289752684776,other,0.8618846927102276
"",gisel118,gisel freer,"manequin
",Fear of unemployment? #Bears #Chargers How to find any job and succeed all job interviews THE SECRET IS HERE:  5,Mon Oct 19 05:22:00 +0000 2015,1445232120666,655977175095595008,person,0.9033898449424821,new_job,0.9878610881990386,other,0.7889100916905598
"",melaigabriel,Melanie Gabriel,"
",Great job guys!!! I miss London!!Team abroad Go!!!#ALDubEBTamangPanahon,Fri Oct 23 19:06:31 +0000 2015,1445627191657,657634222933458949,person,0.9953788445922359,new_job,0.40200171252244166,other,0.808755754208241
